Post_ID,Platform,Topic,Post_Text,Likes,Shares,Sentiment,Date
1,3,4,15,868,622,0,225
2,4,2,22,1142,78,1,300
3,4,5,27,546,230,0,317
4,3,4,27,1395,56,0,55
5,5,2,28,1884,618,0,338
6,4,5,1,2359,478,2,276
7,3,2,11,396,203,1,115
8,0,0,12,698,51,1,34
9,0,0,26,969,973,2,180
10,5,6,5,2908,485,2,134
11,4,1,4,1048,184,0,306
12,3,2,15,1270,603,0,350
13,0,2,16,990,642,0,94
14,4,5,29,1273,682,0,248
15,0,0,29,2192,577,0,14
16,3,3,23,2461,254,2,28
17,2,1,23,1871,634,2,19
18,0,5,15,1150,19,0,86
19,0,3,28,279,345,0,361
20,3,5,1,2098,447,2,92
21,5,5,21,464,485,0,190
22,3,0,10,2463,135,0,308
23,5,3,2,2018,297,2,129
24,3,1,11,1155,88,1,90
25,1,2,29,1040,44,0,178
26,5,6,4,899,504,0,326
27,5,1,13,265,395,0,348
28,0,6,9,343,31,1,189
29,2,4,4,831,77,0,104
30,1,5,22,1474,239,1,57
31,4,3,4,2684,512,0,170
32,1,0,0,169,846,2,214
33,4,1,21,1309,670,0,31
34,5,6,26,1709,272,2,5
35,0,3,18,552,140,1,254
36,5,2,3,4219,667,2,33
37,0,5,23,4447,318,2,346
38,1,0,22,1107,271,1,245
39,2,2,6,4252,895,2,260
40,1,3,16,356,38,0,356
41,5,0,28,2607,577,0,283
42,4,5,27,1016,655,0,116
43,1,3,7,1081,230,1,256
44,2,4,8,363,680,2,326
45,4,5,3,813,694,2,288
46,1,2,25,1394,209,1,213
47,3,4,8,2807,797,2,293
48,4,5,9,1235,151,1,340
49,4,4,16,1161,325,0,197
50,3,6,2,3453,311,2,361
51,4,0,17,1190,156,1,86
52,0,5,6,1433,413,2,323
53,2,5,17,1291,231,1,57
54,0,6,6,763,646,2,363
55,3,2,29,2544,40,0,205
56,4,3,24,3753,86,2,70
57,0,5,23,4218,993,2,275
58,5,6,2,291,873,2,316
59,2,2,24,649,943,2,210
60,1,3,7,824,155,1,360
61,2,6,0,583,385,2,294
62,3,0,11,870,112,1,67
63,2,1,28,781,470,0,77
64,0,2,26,2632,800,2,88
65,2,4,0,4302,853,2,237
66,0,2,4,2311,125,0,207
67,2,3,4,1510,250,0,74
68,4,0,27,1772,557,0,181
69,4,4,27,901,176,0,23
70,0,0,9,700,292,1,254
71,1,5,20,102,15,1,285
72,0,5,9,390,253,1,199
73,1,2,14,2284,268,0,363
74,1,2,11,372,277,1,80
75,1,4,10,2691,677,0,270
76,4,6,10,530,277,0,305
77,5,2,18,1028,96,1,8
78,5,6,0,757,355,2,260
79,2,0,18,280,158,1,251
80,1,5,14,1421,662,0,294
81,0,5,24,2536,235,2,222
